Species,n,PPT_optimum_tc,PPT_optimum_ch,MAT_optimum_tc,MAT_optimum_ch
Abarema floribunda,30,2828.386667,2774.733333,25.69736111,242.7333333
Abarema jupunba,395,2733.215696,2712.212658,24.76734177,238.564557
Abarema killipii,41,1712.295122,1910.780488,17.65162602,163.9268293
Abatia parviflora,205,1466.60439,1430.556098,13.64465447,134.3658537
Abuta grandifolia,508,2748.360827,2922.454724,25.51108924,243.8897638
Acalypha mapirensis,29,2521.217241,2685.137931,23.18721264,224.4482759
Acalypha salicifolia,44,2427.456818,2252.022727,22.11335227,215.6818182
Acalypha stenoloba,182,1630.62033,1609.758242,20.84478022,201.9725275
Achatocarpus praecox,169,1015.960714,982.172619,21.23226687,207.8095238
Aegiphila alba,112,1904.24375,2050.544643,21.0733631,207.4821429
Aegiphila integrifolia,343,2584.690379,2574.22449,24.1792517,233.5218659
Aegiphila multiflora,43,1026.481395,1322.930233,15.2500969,139.372093
Aegiphila saltensis,18,884.4555556,1045.166667,18.54953704,163.7777778
Ageratina gloeoclada,18,876.1,952.2222222,11.85393519,118.4444444
Ageratina popayanensis,146,2243.823288,2404.472603,15.84831621,151.3013699
Agonandra excelsa,70,1101.327143,1072.442857,22.83446429,223.3857143
Agonandra peruviana,61,2283.239344,2289.245902,23.13825137,225.5901639
Agouticarpa curviflora,103,2516.472816,2487.427184,23.99243528,232.6019417
Agouticarpa velutina,46,2960.358696,2952.956522,24.29519928,237.4565217
Aiouea dubia,81,1521.588889,1561.17284,15.42402263,149.7530864
Aiouea grandifolia,54,2328.711111,2258.759259,24.74097222,241.2592593
Aiouea laevis,14,1491.792857,1654.857143,21.87559524,216.2857143
Aiouea montana,67,1586.614925,1447.552239,20.09446517,192.1492537
Aiouea tomentella,19,1623.247368,1523.631579,22.96995614,223.8421053
Albizia niopoides,164,1510.02622,1385.969512,24.87708333,242.7439024
Albizia pedicellaris,24,2584.970833,2468.791667,24.82430556,242.375
Alchornea acutifolia,76,2029.221053,2060.078947,18.83958333,177.6710526
Alchornea anamariae,26,1219.003846,1154,17.81538462,165.1923077
Alchornea bogotensis,29,1865.22069,2150.310345,16.50675287,160.6551724
Alchornea brittonii,49,1240.37551,1366.142857,15.8747449,148.1632653
Alchornea floribunda,11,4157.745455,3996.363636,24.875,240.7272727
Alchornea glandulosa,581,2133.97969,2148.07401,21.46743402,208.4526678
Alchornea grandiflora,286,1778.733566,1977.597902,18.0842366,172.3111888
Alchornea grandis,88,2280.394318,2462.988636,20.24261364,196.25
Alchornea hilariana,11,2023.045455,1835.363636,22.67083333,225.7272727
Alchornea latifolia,271,2410.502222,2424.662963,21.76177469,209.4666667
Alchornea lojaensis,11,1329.727273,1610.727273,17.92007576,172.5454545
Alchornea pearcei,53,1721.196226,2028.471698,18.33632075,174.8867925
Alchornea triplinervia,394,2102.319289,2095.659898,22.08091159,212.7461929
Alchorneopsis floribunda,166,3048.966867,3154.333333,24.63280622,238.4848485
Alfaroa williamsii,18,1944.566667,2218.777778,18.29282407,178.3888889
Alibertia bertierifolia,51,2826.994118,2740.019608,26.09044118,246.3137255
Alibertia edulis,265,2196.370566,2257.762264,25.79694969,248.109434
Alibertia occidentalis,42,3167.07619,3316.714286,23.92738095,233.3571429
Alicia macrodisca,32,2278.0625,2538.03125,25.52773438,245.78125
Allophylus cobbe,13,1417.169231,1513.692308,20.97532051,207.5384615
Allophylus divaricatus,68,2569.666176,2506.691176,24.83897059,243.0882353
Allophylus edulis,269,1150.674436,1178.858779,20.50518484,197.4122137
Allophylus excelsus,64,1860.666667,1996.063492,16.89940476,164.1587302
Allophylus floribundus,205,2227.772683,2262.62439,22.30772358,217.9609756
Allophylus myrianthus,22,1459.604545,1883.909091,17.70416667,172.6818182
Allophylus peruvianus,37,2060.477778,2202.083333,21.35810185,207.9444444
Allophylus petiolulatus,36,1650.786111,1521.277778,23.21643519,227.5277778
Allophylus pilosus,111,2778.200901,2951.288288,24.2975976,236.1891892
Allophylus punctatus,102,1978.602941,1987.294118,23.2309232,224.9803922
Alnus acuminata,601,978.134609,1061.049917,13.95958819,129.7520799
Alzatea verticillata,113,1592.015929,1922.539823,18.21301622,171.159292
Amaioua corymbosa,110,2499.216364,2404.6,26.29473485,252.1909091
Amaioua guianensis,208,2233.410096,2304.0625,25.58988381,244.5673077
Amanoa oblongifolia,62,2711.885484,2888.645161,26.04045699,242.3387097
Ambelania duckei,18,2199.488889,2193.888889,25.38865741,247.4444444
Amburana cearensis,51,1475.590196,1282.27451,22.85539216,223.0392157
Ampelocera edentula,183,2646.337158,2715.502732,25.28602004,242.7868852
Ampelocera longissima,37,2662.143243,2899.621622,23.97207207,233.2972973
Ampelocera ruizii,111,1750.188288,1665.837838,24.09478228,234.7657658
Amyris macrocarpa,26,2987.557692,3077.423077,23.97435897,236.6153846
Anacardium excelsum,61,1753.222951,1680.533333,25.21448087,246.7166667
Anadenanthera colubrina,356,968.4771831,944.1323944,20.56056338,197.8901408
Anaxagorea brachycarpa,71,2965.950704,3012.760563,26.29190141,245.1549296
Anaxagorea brevipes,201,2984.195025,3163.830846,25.66805556,243.0696517
Andesanthus lepidotus,101,2007.661386,1901.821782,16.24905116,154.970297
Andira inermis,339,2785.444248,2654.629851,25.59825467,248.0358209
Andira surinamensis,87,2527.235632,2618.344828,26.47337165,251.4482759
Andira taurotesticulata,85,2737.716667,2650.904762,22.22123016,214.4166667
Aniba coto,70,2119.872857,2276.542857,19.05535714,183.6
Aniba cylindriflora,37,2373.245946,2570.459459,25.92522523,243.4324324
Aniba firmula,175,1602.688571,1654.468571,20.6592381,215.4
Aniba guianensis,141,2559.524823,2668.283688,24.04441489,230.4609929
Aniba hostmanniana,123,2726.499187,2887.243902,24.63130081,234.4471545
Aniba muca,148,1862.978378,1882.824324,19.21894707,187.6283784
Aniba panurensis,192,2479.323438,2643.666667,24.93995226,237.5989583
Aniba perutilis,46,1937.769565,2055.347826,20.52155797,196.0217391
Aniba puchury-minor,106,2718.728302,2740.971698,24.53309748,237.0471698
Aniba riparia,72,2575.236111,2650.097222,23.68564815,230.0138889
Aniba robusta,68,1974.860294,2123.852941,19.28210784,186.8676471
Aniba taubertiana,55,2691.349091,2783.236364,25.00386364,245.4909091
Annona ambotay,104,2777.570192,2949,25.53605769,243.2307692
Annona andicola,29,1421.313793,1428.965517,19.60545977,186
Annona boliviana,11,1301.590909,1122.909091,18.92159091,182.5454545
Annona cuspidata,79,2862.717722,2829.658228,25.6600211,244.3670886
Annona edulis,150,2820.883333,2894.886667,24.95952778,238.0066667
Annona emarginata,65,1365.040323,1254.822581,21.40067204,211.1290323
Annona excellens,22,2336.122727,2406.590909,25.86742424,246.1363636
Annona mucosa,277,2475.58917,2433.620939,24.11848676,234.8736462
Annona neoulei,25,1413.028,1693.56,20.66966667,191.8
Annona williamsii,21,1845.147619,1781.333333,24.64960317,244.6190476
Anomospermum chloranthum,54,2596.083333,2619.018519,24.67299383,238.2962963
Anthodiscus klugii,37,2567.064865,2705.675676,24.97218468,241
Anthodiscus peruanus,28,2527.053571,2751,24.3860119,234.0714286
Anthodiscus pilosus,25,2847.7,3029.76,25.94416667,242.44
Aparisthmium cordatum,427,2728.277283,2857.644028,24.8332943,236.3302108
Apeiba glabra,59,3171.90339,2922.033898,25.70360169,248.2033898
Apeiba membranacea,430,2995.564884,3104.531469,24.92039729,241.7972028
Apuleia leiocarpa,126,2123.749206,2096.396825,24.62533069,235.6031746
Arachnothryx lojensis,17,1532.347059,1633.647059,16.99313725,167.2941176
Aralia soratensis,47,888.1787234,822.2340426,19.12562057,179.2340426
Ardisia guianensis,285,2427.772281,2462.010563,24.32695906,236.6443662
Aspidosperma album,59,2386.257627,2453.457627,25.97252825,253.1355932
Aspidosperma capitatum,10,2316.47,2680,24.96375,236.3
Aspidosperma cylindrocarpon,96,1398.716667,1282.125,23.68333333,230.7604167
